Date,Right Ascension
2018-Feb-08,14 25 13.55
2018-Feb-09,14 33 30.08
2018-Feb-10,14 36 24.00
2018-Feb-11,14 37 51.06
2018-Feb-12,14 38 41.58
2018-Feb-13,14 39 12.82
2018-Feb-14,14 39 32.30
2018-Feb-15,14 39 43.83
2018-Feb-16,14 39 49.56
2018-Feb-17,14 39 50.80
2018-Feb-18,14 39 48.39
2018-Feb-19,14 39 42.91
2018-Feb-20,14 39 34.77
2018-Feb-21,14 39 24.27
2018-Feb-22,14 39 11.65
2018-Feb-23,14 38 57.08
2018-Feb-24,14 38 40.67
2018-Feb-25,14 38 22.50
2018-Feb-26,14 38 02.60
2018-Feb-27,14 37 40.97
2018-Feb-28,14 37 17.55
2018-Mar-01,14 36 52.26
2018-Mar-02,14 36 24.97
2018-Mar-03,14 35 55.54
2018-Mar-04,14 35 23.83
2018-Mar-05,14 34 49.69
2018-Mar-06,14 34 13.00
2018-Mar-07,14 33 33.66
2018-Mar-08,14 32 51.59
2018-Mar-09,14 32 06.75
2018-Mar-10,14 31 19.10
2018-Mar-11,14 30 28.66
2018-Mar-12,14 29 35.45
2018-Mar-13,14 28 39.51
2018-Mar-14,14 27 40.92
2018-Mar-15,14 26 39.75
2018-Mar-16,14 25 36.12
2018-Mar-17,14 24 30.15
2018-Mar-18,14 23 22.01
2018-Mar-19,14 22 11.84
2018-Mar-20,14 20 59.84
2018-Mar-21,14 19 46.21
2018-Mar-22,14 18 31.12
2018-Mar-23,14 17 14.80
2018-Mar-24,14 15 57.43
2018-Mar-25,14 14 39.20
2018-Mar-26,14 13 20.28
2018-Mar-27,14 12 00.85
2018-Mar-28,14 10 41.03
2018-Mar-29,14 09 20.98
2018-Mar-30,14 08 00.80
2018-Mar-31,14 06 40.61
2018-Apr-01,14 05 20.52
2018-Apr-02,14 04 00.64
2018-Apr-03,14 02 41.09
2018-Apr-04,14 01 21.99
2018-Apr-05,14 00 03.46
2018-Apr-06,13 58 45.66
2018-Apr-07,13 57 28.71
2018-Apr-08,13 56 12.76
2018-Apr-09,13 54 57.98
2018-Apr-10,13 53 44.50
2018-Apr-11,13 52 32.49
2018-Apr-12,13 51 22.09
2018-Apr-13,13 50 13.46
2018-Apr-14,13 49 06.74
2018-Apr-15,13 48 02.09
2018-Apr-16,13 46 59.64
2018-Apr-17,13 45 59.53
2018-Apr-18,13 45 01.88
2018-Apr-19,13 44 06.82
2018-Apr-20,13 43 14.44
2018-Apr-21,13 42 24.81
2018-Apr-22,13 41 38.02
2018-Apr-23,13 40 54.10
2018-Apr-24,13 40 13.07
2018-Apr-25,13 39 34.97
2018-Apr-26,13 38 59.78
2018-Apr-27,13 38 27.50
2018-Apr-28,13 37 58.11
2018-Apr-29,13 37 31.60
2018-Apr-30,13 37 07.93
2018-May-01,13 36 47.08
2018-May-02,13 36 29.03
2018-May-03,13 36 13.76
2018-May-04,13 36 01.23
2018-May-05,13 35 51.44
2018-May-06,13 35 44.35
2018-May-07,13 35 39.94
2018-May-08,13 35 38.20
2018-May-09,13 35 39.11
2018-May-10,13 35 42.63
2018-May-11,13 35 48.76
2018-May-12,13 35 57.47
2018-May-13,13 36 08.74
2018-May-14,13 36 22.56
2018-May-15,13 36 38.89
2018-May-16,13 36 57.72
2018-May-17,13 37 19.03
2018-May-18,13 37 42.78
2018-May-19,13 38 08.93
2018-May-20,13 38 37.44
2018-May-21,13 39 08.26
2018-May-22,13 39 41.35
2018-May-23,13 40 16.63
2018-May-24,13 40 54.06
2018-May-25,13 41 33.57
2018-May-26,13 42 15.11
2018-May-27,13 42 58.62
2018-May-28,13 43 44.04
2018-May-29,13 44 31.32
2018-May-30,13 45 20.41
2018-May-31,13 46 11.27
2018-Jun-01,13 47 03.85
2018-Jun-02,13 47 58.12
2018-Jun-03,13 48 54.03
2018-Jun-04,13 49 51.54
2018-Jun-05,13 50 50.64
2018-Jun-06,13 51 51.28
2018-Jun-07,13 52 53.44
2018-Jun-08,13 53 57.09
2018-Jun-09,13 55 02.20
2018-Jun-10,13 56 08.76
2018-Jun-11,13 57 16.74
2018-Jun-12,13 58 26.12
2018-Jun-13,13 59 36.88
2018-Jun-14,14 00 49.01
2018-Jun-15,14 02 02.48
2018-Jun-16,14 03 17.27
2018-Jun-17,14 04 33.34
2018-Jun-18,14 05 50.68
2018-Jun-19,14 07 09.25
2018-Jun-20,14 08 29.02
2018-Jun-21,14 09 49.95
2018-Jun-22,14 11 12.01
2018-Jun-23,14 12 35.17
2018-Jun-24,14 13 59.40
2018-Jun-25,14 15 24.66
2018-Jun-26,14 16 50.94
2018-Jun-27,14 18 18.21
2018-Jun-28,14 19 46.44
2018-Jun-29,14 21 15.62
2018-Jun-30,14 22 45.72
2018-Jul-01,14 24 16.72
2018-Jul-02,14 25 48.61
2018-Jul-03,14 27 21.37
2018-Jul-04,14 28 55.00
2018-Jul-05,14 30 29.47
2018-Jul-06,14 32 04.78
2018-Jul-07,14 33 40.91
2018-Jul-08,14 35 17.87
2018-Jul-09,14 36 55.63
2018-Jul-10,14 38 34.21
2018-Jul-11,14 40 13.58
2018-Jul-12,14 41 53.75
2018-Jul-13,14 43 34.70
2018-Jul-14,14 45 16.43
2018-Jul-15,14 46 58.94
2018-Jul-16,14 48 42.19
2018-Jul-17,14 50 26.19
2018-Jul-18,14 52 10.92
2018-Jul-19,14 53 56.35
2018-Jul-20,14 55 42.48
2018-Jul-21,14 57 29.29
2018-Jul-22,14 59 16.76
2018-Jul-23,15 01 04.88
2018-Jul-24,15 02 53.63
2018-Jul-25,15 04 43.01
2018-Jul-26,15 06 33.01
2018-Jul-27,15 08 23.60
2018-Jul-28,15 10 14.79
2018-Jul-29,15 12 06.57
2018-Jul-30,15 13 58.92
2018-Jul-31,15 15 51.84
2018-Aug-01,15 17 45.33
2018-Aug-02,15 19 39.38
2018-Aug-03,15 21 33.99
2018-Aug-04,15 23 29.15
2018-Aug-05,15 25 24.87
2018-Aug-06,15 27 21.13
2018-Aug-07,15 29 17.95
2018-Aug-08,15 31 15.32
2018-Aug-09,15 33 13.23
2018-Aug-10,15 35 11.69
2018-Aug-11,15 37 10.70
2018-Aug-12,15 39 10.25
2018-Aug-13,15 41 10.33
2018-Aug-14,15 43 10.94
2018-Aug-15,15 45 12.07
2018-Aug-16,15 47 13.71
2018-Aug-17,15 49 15.85
2018-Aug-18,15 51 18.48
2018-Aug-19,15 53 21.60
2018-Aug-20,15 55 25.18
2018-Aug-21,15 57 29.24
2018-Aug-22,15 59 33.75
2018-Aug-23,16 01 38.71
2018-Aug-24,16 03 44.11
2018-Aug-25,16 05 49.95
2018-Aug-26,16 07 56.23
2018-Aug-27,16 10 02.93
2018-Aug-28,16 12 10.05
2018-Aug-29,16 14 17.59
2018-Aug-30,16 16 25.55
2018-Aug-31,16 18 33.92
2018-Sep-01,16 20 42.70
2018-Sep-02,16 22 51.89
2018-Sep-03,16 25 01.49
2018-Sep-04,16 27 11.50
2018-Sep-05,16 29 21.92
2018-Sep-06,16 31 32.74
2018-Sep-07,16 33 43.97
2018-Sep-08,16 35 55.61
2018-Sep-09,16 38 07.65
2018-Sep-10,16 40 20.09
2018-Sep-11,16 42 32.92
2018-Sep-12,16 44 46.13
2018-Sep-13,16 46 59.73
2018-Sep-14,16 49 13.70
2018-Sep-15,16 51 28.03
2018-Sep-16,16 53 42.71
2018-Sep-17,16 55 57.75
2018-Sep-18,16 58 13.12
2018-Sep-19,17 00 28.82
2018-Sep-20,17 02 44.85
2018-Sep-21,17 05 01.20
2018-Sep-22,17 07 17.86
2018-Sep-23,17 09 34.83
2018-Sep-24,17 11 52.10
2018-Sep-25,17 14 09.66
2018-Sep-26,17 16 27.51
2018-Sep-27,17 18 45.65
2018-Sep-28,17 21 04.08
2018-Sep-29,17 23 22.78
2018-Sep-30,17 25 41.77
2018-Oct-01,17 28 01.03
2018-Oct-02,17 30 20.56
2018-Oct-03,17 32 40.37
2018-Oct-04,17 35 00.44
2018-Oct-05,17 37 20.79
2018-Oct-06,17 39 41.40
2018-Oct-07,17 42 02.28
2018-Oct-08,17 44 23.41
2018-Oct-09,17 46 44.79
2018-Oct-10,17 49 06.43
2018-Oct-11,17 51 28.30
2018-Oct-12,17 53 50.40
2018-Oct-13,17 56 12.72
2018-Oct-14,17 58 35.27
2018-Oct-15,18 00 58.01
2018-Oct-16,18 03 20.96
2018-Oct-17,18 05 44.10
2018-Oct-18,18 08 07.43
2018-Oct-19,18 10 30.93
2018-Oct-20,18 12 54.61
2018-Oct-21,18 15 18.44
2018-Oct-22,18 17 42.44
2018-Oct-23,18 20 06.59
2018-Oct-24,18 22 30.88
2018-Oct-25,18 24 55.32
2018-Oct-26,18 27 19.89
2018-Oct-27,18 29 44.60
2018-Oct-28,18 32 09.43
2018-Oct-29,18 34 34.40
2018-Oct-30,18 36 59.49
2018-Oct-31,18 39 24.70
2018-Nov-01,18 41 50.04
2018-Nov-02,18 44 15.49
2018-Nov-03,18 46 41.06
2018-Nov-04,18 49 06.74
2018-Nov-05,18 51 32.53
2018-Nov-06,18 53 58.42
2018-Nov-07,18 56 24.41
2018-Nov-08,18 58 50.50
2018-Nov-09,19 01 16.67
2018-Nov-10,19 03 42.91
2018-Nov-11,19 06 09.23
2018-Nov-12,19 08 35.62
2018-Nov-13,19 11 02.06
2018-Nov-14,19 13 28.56
2018-Nov-15,19 15 55.10
2018-Nov-16,19 18 21.68
2018-Nov-17,19 20 48.29
2018-Nov-18,19 23 14.93
2018-Nov-19,19 25 41.60
2018-Nov-20,19 28 08.28
2018-Nov-21,19 30 34.98
2018-Nov-22,19 33 01.68
2018-Nov-23,19 35 28.40
2018-Nov-24,19 37 55.11
2018-Nov-25,19 40 21.83
2018-Nov-26,19 42 48.55
2018-Nov-27,19 45 15.27
2018-Nov-28,19 47 41.98
2018-Nov-29,19 50 08.70
2018-Nov-30,19 52 35.41
2018-Dec-01,19 55 02.13
2018-Dec-02,19 57 28.83
2018-Dec-03,19 59 55.53
2018-Dec-04,20 02 22.23
2018-Dec-05,20 04 48.91
2018-Dec-06,20 07 15.57
2018-Dec-07,20 09 42.22
2018-Dec-08,20 12 08.85
2018-Dec-09,20 14 35.45
2018-Dec-10,20 17 02.02
2018-Dec-11,20 19 28.56
2018-Dec-12,20 21 55.07
2018-Dec-13,20 24 21.53
2018-Dec-14,20 26 47.95
2018-Dec-15,20 29 14.33
2018-Dec-16,20 31 40.66
2018-Dec-17,20 34 06.94
2018-Dec-18,20 36 33.16
2018-Dec-19,20 38 59.33
2018-Dec-20,20 41 25.45
2018-Dec-21,20 43 51.51
2018-Dec-22,20 46 17.52
2018-Dec-23,20 48 43.47
2018-Dec-24,20 51 09.37
2018-Dec-25,20 53 35.22
2018-Dec-26,20 56 01.02
2018-Dec-27,20 58 26.78
2018-Dec-28,21 00 52.49
2018-Dec-29,21 03 18.17
2018-Dec-30,21 05 43.81
2018-Dec-31,21 08 09.41
2019-Jan-01,21 10 34.98
2019-Jan-02,21 13 00.52
2019-Jan-03,21 15 26.02
2019-Jan-04,21 17 51.49
2019-Jan-05,21 20 16.93
2019-Jan-06,21 22 42.34
2019-Jan-07,21 25 07.72
2019-Jan-08,21 27 33.07
2019-Jan-09,21 29 58.39
2019-Jan-10,21 32 23.68
2019-Jan-11,21 34 48.95
2019-Jan-12,21 37 14.19
2019-Jan-13,21 39 39.40
2019-Jan-14,21 42 04.58
2019-Jan-15,21 44 29.75
2019-Jan-16,21 46 54.89
2019-Jan-17,21 49 20.02
2019-Jan-18,21 51 45.13
2019-Jan-19,21 54 10.23
2019-Jan-20,21 56 35.33
2019-Jan-21,21 59 00.42
2019-Jan-22,22 01 25.52
2019-Jan-23,22 03 50.63
2019-Jan-24,22 06 15.75
2019-Jan-25,22 08 40.90
2019-Jan-26,22 11 06.08
2019-Jan-27,22 13 31.30
2019-Jan-28,22 15 56.56
2019-Jan-29,22 18 21.87
2019-Jan-30,22 20 47.23
2019-Jan-31,22 23 12.65
2019-Feb-01,22 25 38.13
2019-Feb-02,22 28 03.68
2019-Feb-03,22 30 29.30
2019-Feb-04,22 32 55.00
2019-Feb-05,22 35 20.78
2019-Feb-06,22 37 46.64
2019-Feb-07,22 40 12.59
2019-Feb-08,22 42 38.65
2019-Feb-09,22 45 04.80
2019-Feb-10,22 47 31.05
2019-Feb-11,22 49 57.42
2019-Feb-12,22 52 23.90
2019-Feb-13,22 54 50.51
2019-Feb-14,22 57 17.25
2019-Feb-15,22 59 44.12
2019-Feb-16,23 02 11.13
2019-Feb-17,23 04 38.29
2019-Feb-18,23 07 05.61
2019-Feb-19,23 09 33.10
2019-Feb-20,23 12 00.77
2019-Feb-21,23 14 28.62
2019-Feb-22,23 16 56.68
2019-Feb-23,23 19 24.94
2019-Feb-24,23 21 53.42
